code,name,average_coverage
UNICEF_REGIONS_WCARO,West and Central Africa,29.15973377703827
WB_LONG_LIC,Low income,33.52248062015504
WB_SHORT_LIC,Low income,33.52248062015504
GAVI_PHASE5_YES,Gavi 5.0 yes,34.42595673876872
LEAST_DEVELOPED,Least developed,34.46193771626297
AFR,African Region,35.13178294573643
UNICEF_REGIONS_ROSA,South Asia,36.185512367491164
UNICEF_REGIONS_ESARO,Eastern and Southern Africa,36.28452579034942
WB_LONG_LMIC,Lower middle income,39.4015503875969
SEAR,South-East Asia Region,40.19344262295082
SOM,Somalia,41.11684986595175
EMR,Eastern Mediterranean Region,42.734883720930235
DEVELOPING,Developing,43.949826989619375
WB_SHORT_MIC,Middle income,44.686821705426354
GLOBAL,Global,45.034108527131785
UNICEF_REGIONS_EAPRO,East Asia and the Pacific,47.669611307420496
UNICEF_REGIONS_MENA,Middle East and North Africa,48.447587354409315
NGA,Nigeria,48.87306501547992
CAF,Central African Republic,51.09341532639544
WPR,Western Pacific Region,51.18688524590164
