antigen,average_coverage
DTPCV1,89.02014913056274
PCV1,85.59391479985297
MEN_ACYW_CONJ,84.43363636363637
IPV1,84.41696797302963
PCV2,83.74400226329705
BCG,83.42791210424667
DIPHCV4,83.20033730158727
PERCV4,82.8662814070351
HIB3,82.61469049925111
RCV1,82.52184769775663
TTCV4,82.02581202487902
HEPB3,81.9670168788443
HEPB_BDALL,81.33238026124805
POL3,80.74093545717825
DTPCV3,80.1986196369635
MCV2,80.16793771130013
DIPHCV5,79.7996160267112
ROTA1,79.1089985344405
MCV1,78.99366528646259
TTCV5,78.00802021903968
JAPENC_1,77.24961538461537
PCV3,76.20288166882028
HEPB_BD,76.1334950840471
JAPENC_C,76.05699999999999
DIPHCV6,75.74747399702831
TTCV6,75.43850282485883
MALARIA1,74.548
IPV2,74.44295880149816
MENB_C,73.62913043478261
MENACYW_C,73.42410256410257
TYPHOID_CONJ,70.3062857142857
MEN_B,69.94800000000001
IPV1_FRAC,69.53768707482995
PAB,67.95774104683196
ROTAC,67.38574839537866
FLU_RESIDENT,66.70325
VAD1,63.31422883295193
IPV2_FRAC,62.91409090909092
FLU_OTHER,59.84385714285715
PERCV_PW,57.6983870967742
MALARIA3,57.438
YFV,57.27104120792696
MEN_A_CONJ,57.136220095693766
HPV_FEM,55.986583476764125
TT2PLUS,55.5688653477984
FLU_CHRONIC_ALL,51.05516393442622
FLU_HCW,50.929225806451605
FLU_CHRONIC_PED,50.77256756756756
FLU_CHRONIC_ADULT,49.862211538461516
PRHPV1_F,48.00624133148405
15HPV1_F,47.22644927536232
HPV_MALE,46.91990769230768
JAPENC,46.83323684210527
MENA_C,46.217607655502405
FLU_CHILD2,46.129305555555554
MALARIA4,45.29
FLU_ELDERLY,43.35414868105516
FLU_HAJ,41.822941176470586
15HPVC_F,39.68892955169259
PRHPVC_F,38.98351254480287
FLU_CHILD1,38.80531914893614
FLU_PW,37.189007092198594
TYPHOID,27.30837837837838
MCV2X2,27.123478260869565
FLU_ALL,25.943461538461534
PRHPV1_M,24.346564885496182
PRHPVC_M,18.657276995305164
15HPV1_M,16.901669758812616
15HPVC_M,13.4860853432282
