year,disease,total_cases
1980.0,DIPHTHERIA,291495.0
1980.0,MEASLES,11560070.0
1980.0,NTETANUS,39015.0
1980.0,PERTUSSIS,5905183.0
1980.0,POLIO,157892.0
1980.0,TTETANUS,341833.0
1980.0,YFEVER,432.0
1981.0,DIPHTHERIA,222294.0
1981.0,MEASLES,12237035.0
1981.0,NTETANUS,39854.0
1981.0,PERTUSSIS,5386640.0
1981.0,POLIO,197214.0
1981.0,TTETANUS,317062.0
1981.0,YFEVER,714.0
1982.0,DIPHTHERIA,180123.0
1982.0,MEASLES,10875895.0
1982.0,NTETANUS,54025.0
1982.0,PERTUSSIS,5442563.0
1982.0,POLIO,154890.0
1982.0,TTETANUS,346347.0
1982.0,YFEVER,513.0
1983.0,DIPHTHERIA,149391.0
1983.0,MEASLES,10760640.0
1983.0,NTETANUS,47610.0
1983.0,PERTUSSIS,4088084.0
1983.0,POLIO,119920.0
1983.0,TTETANUS,297258.0
1983.0,YFEVER,2379.0
1984.0,DIPHTHERIA,135705.0
1984.0,MEASLES,9082021.0
1984.0,NTETANUS,55449.0
1984.0,PERTUSSIS,3077785.0
1984.0,POLIO,105252.0
1984.0,TTETANUS,268816.0
1984.0,YFEVER,3036.0
1985.0,DIPHTHERIA,127005.0
1985.0,MEASLES,8461295.0
1985.0,NTETANUS,52314.0
1985.0,PERTUSSIS,3023531.0
1985.0,POLIO,115450.0
1985.0,TTETANUS,313678.0
1985.0,YFEVER,414.0
1986.0,DIPHTHERIA,87396.0
1986.0,MEASLES,6237415.0
1986.0,NTETANUS,61183.0
1986.0,PERTUSSIS,2506316.0
1986.0,POLIO,98538.0
1986.0,TTETANUS,257612.0
1986.0,YFEVER,4431.0
1987.0,DIPHTHERIA,83262.0
1987.0,MEASLES,5050058.0
1987.0,NTETANUS,56956.0
1987.0,PERTUSSIS,2065328.0
1987.0,POLIO,119049.0
1987.0,TTETANUS,227806.0
1987.0,YFEVER,9741.0
1988.0,DIPHTHERIA,94578.0
1988.0,MEASLES,4995664.0
1988.0,NTETANUS,95658.0
1988.0,PERTUSSIS,1570750.0
1988.0,POLIO,103851.0
1988.0,TTETANUS,219945.0
1988.0,YFEVER,16032.0
1989.0,DIPHTHERIA,89337.0
1989.0,MEASLES,5467591.0
1989.0,NTETANUS,87193.0
1989.0,PERTUSSIS,1789491.0
1989.0,POLIO,78312.0
1989.0,TTETANUS,236086.0
1989.0,YFEVER,10521.0
1990.0,DIPHTHERIA,66400.0
1990.0,MEASLES,3975979.0
1990.0,NTETANUS,75879.0
1990.0,PERTUSSIS,1327498.0
1990.0,POLIO,69159.0
1990.0,TTETANUS,194220.0
1990.0,YFEVER,13017.0
1991.0,DIPHTHERIA,74215.0
1991.0,MEASLES,4111136.0
1991.0,NTETANUS,71152.0
1991.0,PERTUSSIS,1291501.0
1991.0,POLIO,39822.0
1991.0,TTETANUS,138888.0
1991.0,YFEVER,8136.0
1992.0,DIPHTHERIA,62553.0
1992.0,MEASLES,4443976.0
1992.0,NTETANUS,47487.0
1992.0,PERTUSSIS,766660.0
1992.0,POLIO,45912.0
1992.0,TTETANUS,119808.0
1992.0,YFEVER,885.0
1993.0,DIPHTHERIA,93727.0
1993.0,MEASLES,3432062.0
1993.0,NTETANUS,47955.0
1993.0,PERTUSSIS,711425.0
1993.0,POLIO,31500.0
1993.0,TTETANUS,127628.0
1993.0,YFEVER,1230.0
1994.0,DIPHTHERIA,164449.0
1994.0,MEASLES,2781053.0
1994.0,NTETANUS,38616.0
1994.0,PERTUSSIS,761475.0
1994.0,POLIO,25998.0
1994.0,TTETANUS,144324.0
1994.0,YFEVER,4320.0
1995.0,DIPHTHERIA,170895.0
1995.0,MEASLES,2161235.0
1995.0,NTETANUS,31615.0
1995.0,PERTUSSIS,494941.0
1995.0,POLIO,21129.0
1995.0,TTETANUS,39085.0
1995.0,YFEVER,3657.0
1996.0,DIPHTHERIA,85872.0
1996.0,MEASLES,2611184.0
1996.0,NTETANUS,39275.0
1996.0,PERTUSSIS,424121.0
1996.0,POLIO,12210.0
1996.0,TTETANUS,37636.0
1996.0,YFEVER,1317.0
1997.0,CRS,99.0
1997.0,DIPHTHERIA,44301.0
1997.0,MEASLES,2477899.0
1997.0,NTETANUS,47299.0
1997.0,PERTUSSIS,504471.0
1997.0,POLIO,15558.0
1997.0,RUBELLA,375168.0
1997.0,TTETANUS,69449.0
1997.0,YFEVER,579.0
1998.0,CRS,42.0
1998.0,DIPHTHERIA,22324.0
1998.0,MEASLES,2083496.0
1998.0,NTETANUS,49885.0
1998.0,PERTUSSIS,566943.0
1998.0,POLIO,19041.0
1998.0,RUBELLA,391707.0
1998.0,TTETANUS,61417.0
1998.0,YFEVER,927.0
1999.0,CRS,205.0
1999.0,DIPHTHERIA,14430.0
1999.0,MEASLES,2257406.0
1999.0,MUMPS,1674544.0
1999.0,NTETANUS,32956.0
1999.0,PERTUSSIS,348910.0
1999.0,POLIO,21423.0
1999.0,RUBELLA,2625416.0
1999.0,TTETANUS,47866.0
1999.0,YFEVER,648.0
2000.0,CRS,470.0
2000.0,DIPHTHERIA,34875.0
2000.0,MEASLES,2560508.0
2000.0,MUMPS,1632940.0
2000.0,NTETANUS,53808.0
2000.0,PERTUSSIS,571472.0
2000.0,POLIO,8913.0
2000.0,RUBELLA,2015149.0
2000.0,TTETANUS,71151.0
2000.0,YFEVER,2097.0
2001.0,CRS,256.0
2001.0,DIPHTHERIA,32175.0
2001.0,MEASLES,2547704.0
2001.0,MUMPS,1237150.0
2001.0,NTETANUS,42051.0
2001.0,PERTUSSIS,524560.0
2001.0,POLIO,1488.0
2001.0,RUBELLA,2509059.0
