code,name,year,average_coverage,average_incidence
TUV,Tuvalu,2023.0,92.82678571428575,16707.400000000016
NIU,Niue,1991.0,99.58823529411765,9869.5
ALB,Albania,1989.0,95.15384615384616,8363.68
COK,Cook Islands,1989.0,93.15384615384616,8162.059999999999
TON,Tonga,2019.0,99.34117647058824,6236.399999999997
COK,Cook Islands,2007.0,95.22222222222223,3018.8888888888887
MDV,Maldives,1995.0,95.33333333333333,2990.474999999999
TKL,Tokelau,2017.0,95.2,2870.2999999999997
KNA,Saint Kitts and Nevis,1983.0,91.28571428571429,2626.74
MDV,Maldives,2005.0,95.37037037037037,2468.577777777779
GHA,Ghana,2021.0,92.90441860465108,2406.5249999999987
ATG,Antigua and Barbuda,1998.0,99.54545454545455,2324.633333333333
VGB,British Virgin Islands,1989.0,96.875,2213.4399999999996
COK,Cook Islands,1997.0,91.5,2201.8
TON,Tonga,1997.0,91.21052631578948,2147.5200000000004
NIU,Niue,2003.0,94.41722222222225,2096.4400000000005
MDV,Maldives,2006.0,95.96296296296296,1910.3222222222203
MDV,Maldives,2002.0,97.78571428571429,1587.7000000000005
DNK,Denmark,1981.0,93.66666666666667,1562.7600000000002
DNK,Denmark,1983.0,92.55555555555556,1373.6399999999999
COM,Comoros,1990.0,90.6875,1309.125
DNK,Denmark,1980.0,94.66666666666667,1296.9199999999998
MCO,Monaco,1992.0,98.0,1295.0499999999997
SYC,Seychelles,1998.0,97.26315789473684,1292.483333333333
KIR,Kiribati,1997.0,92.33333333333333,1205.0200000000002
NPL,Nepal,2023.0,91.94540000000005,1192.8
VGB,British Virgin Islands,1990.0,99.0,1146.1399999999999
SYC,Seychelles,1983.0,97.83333333333333,994.75
DNK,Denmark,1986.0,92.875,962.0600000000001
DNK,Denmark,1984.0,91.88888888888889,960.7600000000002
MNG,Mongolia,2016.0,97.19999999999997,916.8363636363621
BLR,Belarus,1999.0,98.68124999999993,846.8375
BRN,Brunei Darussalam,1981.0,94.71428571428571,811.5800000000002
ROU,Romania,2003.0,97.878947368421,781.3
OMN,Oman,1988.0,90.125,765.3399999999998
CHL,Chile,1988.0,96.5,699.3
CHE,Switzerland,1999.0,90.36363636363636,690.5666666666663
DNK,Denmark,1982.0,93.66666666666667,663.8799999999998
SRB,Serbia,1981.0,94.75,653.6599999999996
KNA,Saint Kitts and Nevis,1982.0,93.14285714285714,653.6199999999999
OMN,Oman,1999.0,98.64304347826089,633.6444444444438
MNG,Mongolia,2015.0,97.9993333333331,630.0272727272721
MNG,Mongolia,2001.0,95.68181818181819,619.5400000000003
MKD,North Macedonia,2009.0,94.39392857142863,590.0555555555546
DNK,Denmark,1985.0,95.4,589.4200000000002
MDV,Maldives,1994.0,91.05263157894737,566.2199999999999
ROU,Romania,2004.0,94.3666666666667,524.4099999999996
PYF,French Polynesia,1997.0,93.25,512.38
KGZ,Kyrgyzstan,2015.0,97.44000000000003,512.1166666666664
OMN,Oman,1989.0,95.125,511.98000000000013
BGR,Bulgaria,1999.0,96.22222222222223,500.95999999999975
BFA,Burkina Faso,2009.0,92.65583333333332,493.1
ISL,Iceland,1983.0,90.36363636363636,484.4599999999999
TJK,Tajikistan,1990.0,90.57142857142857,484.2333333333334
GUM,Guam,2011.0,100.0,476.75
BGR,Bulgaria,1992.0,93.35388888888892,475.5600000000001
OMN,Oman,2000.0,95.51387096774215,466.94000000000034
POL,Poland,1999.0,97.47368421052632,455.8428571428567
FRA,France,1997.0,91.19999999999999,455.40000000000003
BGR,Bulgaria,2000.0,92.5652173913044,429.97777777777725
ESP,Spain,1989.0,95.0909090909091,423.9250000000001
ARM,Armenia,1999.0,93.31333333333329,413.13333333333355
ISL,Iceland,1985.0,97.8,403.90000000000003
