year,avg_coverage
1980.0,47.22
1981.0,48.09
1982.0,50.73
1983.0,54.31
1984.0,55.11
1985.0,57.82
1986.0,62.08
1987.0,65.51
1988.0,69.1
1989.0,72.42
1990.0,77.49
1991.0,76.8
1992.0,76.58
1993.0,77.31
1994.0,78.49
1995.0,80.22
1996.0,80.81
1997.0,80.96
1998.0,80.54
1999.0,80.94
2000.0,80.57
2001.0,79.5
2002.0,81.88
2003.0,83.25
2004.0,83.67
2005.0,84.56
2006.0,85.65
2007.0,85.39
2008.0,85.73
2009.0,86.14
2010.0,83.84
2011.0,83.69
2012.0,83.39
2013.0,82.87
2014.0,83.27
2015.0,83.17
2016.0,83.84
2017.0,83.61
2018.0,82.29
2019.0,81.69
2020.0,80.51
2021.0,79.19
2022.0,79.97
2023.0,80.39
