antigen,avg_coverage
DTPCV1,89.56
RCV1,89.39
HIB3,86.84
PCV1,85.59
HEPB3,85.05
IPV1,85.05
MEN_ACYW_CONJ,84.43
BCG,83.84
PCV2,83.74
DIPHCV4,83.2
PERCV4,82.87
MCV2,82.11
TTCV4,82.03
HEPB_BD,81.75
HEPB_BDALL,81.33
POL3,81.12
DTPCV3,80.59
DIPHCV5,79.8
MCV1,79.38
PCV3,79.33
ROTA1,79.11
TTCV5,78.01
JAPENC_1,77.25
IPV2,77.22
JAPENC_C,76.06
DIPHCV6,75.75
TTCV6,75.44
MALARIA1,74.55
ROTAC,73.94
MENB_C,73.63
MENACYW_C,73.42
TYPHOID_CONJ,70.31
MEN_B,69.95
IPV1_FRAC,69.54
PAB,68.3
FLU_RESIDENT,66.7
15HPV1_F,66.08
MENA_C,64.93
VAD1,63.31
IPV2_FRAC,62.91
YFV,62.48
PRHPV1_F,59.91
FLU_OTHER,59.84
PERCV_PW,57.7
MALARIA3,57.44
MEN_A_CONJ,57.14
15HPVC_F,56.18
HPV_FEM,55.99
TT2PLUS,55.57
PRHPV1_M,55.22
15HPV1_M,53.78
FLU_CHRONIC_ALL,51.06
FLU_HCW,50.93
FLU_CHRONIC_PED,50.77
FLU_CHRONIC_ADULT,49.86
PRHPVC_F,49.56
HPV_MALE,46.92
JAPENC,46.83
FLU_CHILD2,46.13
MALARIA4,45.29
PRHPVC_M,44.75
15HPVC_M,43.77
FLU_ELDERLY,43.35
FLU_HAJ,41.82
FLU_CHILD1,38.81
FLU_PW,37.19
TYPHOID,27.31
FLU_ALL,25.94
