year,disease,avg_incidence_rate
1980.0,DIPHTHERIA,19.72
1980.0,MEASLES,3260.15
1980.0,NTETANUS,0.2
1980.0,PERTUSSIS,781.01
1980.0,TTETANUS,40.97
1980.0,YFEVER,1.39
1981.0,DIPHTHERIA,11.01
1981.0,MEASLES,2390.22
1981.0,NTETANUS,0.19
1981.0,PERTUSSIS,649.2
1981.0,TTETANUS,33.35
1981.0,YFEVER,3.47
1982.0,DIPHTHERIA,11.42
1982.0,MEASLES,2261.03
1982.0,NTETANUS,0.27
1982.0,PERTUSSIS,568.37
1982.0,TTETANUS,37.98
1982.0,YFEVER,3.4
1983.0,DIPHTHERIA,8.22
1983.0,MEASLES,1956.87
1983.0,NTETANUS,0.23
1983.0,PERTUSSIS,395.39
1983.0,TTETANUS,29.12
1983.0,YFEVER,9.95
1984.0,DIPHTHERIA,8.43
1984.0,MEASLES,1717.09
1984.0,NTETANUS,0.22
1984.0,PERTUSSIS,419.51
1984.0,TTETANUS,25.92
1984.0,YFEVER,1.87
1985.0,DIPHTHERIA,7.93
1985.0,MEASLES,1985.52
1985.0,NTETANUS,0.26
1985.0,PERTUSSIS,386.74
1985.0,TTETANUS,34.67
1985.0,YFEVER,1.81
1986.0,DIPHTHERIA,4.31
1986.0,MEASLES,1103.99
1986.0,NTETANUS,0.3
1986.0,PERTUSSIS,237.25
1986.0,TTETANUS,22.31
1986.0,YFEVER,4.22
1987.0,DIPHTHERIA,3.77
1987.0,MEASLES,1186.13
1987.0,NTETANUS,0.26
1987.0,PERTUSSIS,187.43
1987.0,TTETANUS,19.44
1987.0,YFEVER,8.33
1988.0,DIPHTHERIA,3.41
1988.0,MEASLES,869.71
1988.0,NTETANUS,0.2
1988.0,PERTUSSIS,124.73
1988.0,TTETANUS,22.45
1988.0,YFEVER,7.78
1989.0,DIPHTHERIA,5.11
1989.0,MEASLES,1550.65
1989.0,NTETANUS,0.22
1989.0,PERTUSSIS,145.86
1989.0,TTETANUS,17.65
1989.0,YFEVER,5.05
1990.0,DIPHTHERIA,2.07
1990.0,MEASLES,714.22
1990.0,NTETANUS,0.22
