year,disease,total_reported_cases
1980.0,DIPHTHERIA,97167.0
1980.0,MEASLES,3855586.0
1980.0,NTETANUS,13005.0
1980.0,PERTUSSIS,1968457.0
1980.0,POLIO,52632.0
1980.0,TTETANUS,113961.0
1980.0,YFEVER,144.0
1981.0,DIPHTHERIA,74098.0
1981.0,MEASLES,4080125.0
1981.0,NTETANUS,13286.0
1981.0,PERTUSSIS,1795654.0
1981.0,POLIO,65740.0
1981.0,TTETANUS,105704.0
1981.0,YFEVER,238.0
1982.0,DIPHTHERIA,60043.0
1982.0,MEASLES,3628379.0
1982.0,NTETANUS,18009.0
1982.0,PERTUSSIS,1814207.0
1982.0,POLIO,51634.0
1982.0,TTETANUS,115467.0
1982.0,YFEVER,171.0
1983.0,DIPHTHERIA,49797.0
1983.0,MEASLES,3588438.0
1983.0,NTETANUS,15870.0
1983.0,PERTUSSIS,1362706.0
1983.0,POLIO,39974.0
1983.0,TTETANUS,99102.0
1983.0,YFEVER,793.0
1984.0,DIPHTHERIA,45235.0
1984.0,MEASLES,3028075.0
1984.0,NTETANUS,18483.0
1984.0,PERTUSSIS,1025949.0
1984.0,POLIO,35084.0
1984.0,TTETANUS,89642.0
1984.0,YFEVER,1012.0
1985.0,DIPHTHERIA,42335.0
1985.0,MEASLES,2822189.0
1985.0,NTETANUS,17438.0
1985.0,PERTUSSIS,1007867.0
1985.0,POLIO,38484.0
1985.0,TTETANUS,104586.0
1985.0,YFEVER,138.0
1986.0,DIPHTHERIA,29132.0
1986.0,MEASLES,2080023.0
1986.0,NTETANUS,20395.0
1986.0,PERTUSSIS,835454.0
1986.0,POLIO,32846.0
1986.0,TTETANUS,85894.0
1986.0,YFEVER,1477.0
1987.0,DIPHTHERIA,27754.0
1987.0,MEASLES,1684364.0
1987.0,NTETANUS,18986.0
1987.0,PERTUSSIS,688446.0
1987.0,POLIO,39683.0
1987.0,TTETANUS,75942.0
1987.0,YFEVER,3247.0
1988.0,DIPHTHERIA,31526.0
1988.0,MEASLES,1667784.0
1988.0,NTETANUS,31886.0
1988.0,PERTUSSIS,523602.0
1988.0,POLIO,34617.0
1988.0,TTETANUS,73325.0
