code,name,year,antigen,coverage,disease,incidence_rate
TUV,Tuvalu,1980.0,BCG,99.0,MEASLES,69101.3
KIR,Kiribati,1992.0,DTPCV1,95.0,MEASLES,56116.5
KIR,Kiribati,1992.0,POL3,90.0,MEASLES,56116.5
NIU,Niue,1991.0,BCG,99.67,MEASLES,49347.5
NIU,Niue,1991.0,DTPCV1,99.0,MEASLES,49347.5
NIU,Niue,1991.0,DTPCV3,99.67,MEASLES,49347.5
NIU,Niue,1991.0,HEPB3,99.67,MEASLES,49347.5
NIU,Niue,1991.0,MCV1,99.67,MEASLES,49347.5
NIU,Niue,1991.0,POL3,99.67,MEASLES,49347.5
NIU,Niue,1991.0,RCV1,99.0,MEASLES,49347.5
BTN,Bhutan,1999.0,DTPCV1,95.0,MUMPS,43863.6
SLB,Solomon Islands,1989.0,MCV1,92.0,MEASLES,42887.6
ALB,Albania,1989.0,BCG,94.0,MEASLES,41723.4
ALB,Albania,1989.0,DTPCV1,97.0,MEASLES,41723.4
ALB,Albania,1989.0,DTPCV3,94.0,MEASLES,41723.4
ALB,Albania,1989.0,MCV1,96.0,MEASLES,41723.4
ALB,Albania,1989.0,POL3,96.0,MEASLES,41723.4
COK,Cook Islands,1989.0,BCG,94.0,MEASLES,40810.3
COK,Cook Islands,1989.0,DTPCV1,96.0,MEASLES,40810.3
COK,Cook Islands,1989.0,MCV1,99.67,MEASLES,40810.3
NRU,Nauru,1990.0,BCG,93.0,MEASLES,31178.5
NRU,Nauru,1990.0,DTPCV1,90.0,MEASLES,31178.5
WSM,Samoa,2019.0,BCG,96.17,MEASLES,27109.4
WSM,Samoa,2019.0,DTPCV1,96.95,MEASLES,27109.4
WSM,Samoa,2019.0,MCV1,96.03,MEASLES,27109.4
WSM,Samoa,2019.0,RCV1,96.03,MEASLES,27109.4
COK,Cook Islands,2007.0,BCG,99.0,MUMPS,27105.5
COK,Cook Islands,2007.0,DTPCV1,99.67,MUMPS,27105.5
COK,Cook Islands,2007.0,DTPCV3,99.0,MUMPS,27105.5
COK,Cook Islands,2007.0,HEPB3,99.0,MUMPS,27105.5
COK,Cook Islands,2007.0,HEPB_BD,99.5,MUMPS,27105.5
COK,Cook Islands,2007.0,MCV1,98.0,MUMPS,27105.5
COK,Cook Islands,2007.0,MCV2,98.0,MUMPS,27105.5
COK,Cook Islands,2007.0,POL3,99.0,MUMPS,27105.5
COK,Cook Islands,2007.0,RCV1,98.0,MUMPS,27105.5
MWI,Malawi,1980.0,BCG,99.0,MEASLES,25965.2
