who_region,description,first_introduction_year,countries
AFRO,Seasonal Influenza vaccine,1940.0,47
AMRO,Seasonal Influenza vaccine,1940.0,35
EMRO,Seasonal Influenza vaccine,1940.0,21
EURO,Seasonal Influenza vaccine,1940.0,53
SEARO,Seasonal Influenza vaccine,1940.0,11
WPRO,Seasonal Influenza vaccine,1940.0,27
AFRO,IPV (Inactivated polio vaccine),1955.0,47
AMRO,IPV (Inactivated polio vaccine),1955.0,35
EMRO,IPV (Inactivated polio vaccine),1955.0,21
EURO,IPV (Inactivated polio vaccine),1955.0,53
SEARO,IPV (Inactivated polio vaccine),1955.0,11
WPRO,IPV (Inactivated polio vaccine),1955.0,27
AFRO,Measles-containing vaccine 2nd dose,1963.0,47
AMRO,Measles-containing vaccine 2nd dose,1963.0,35
EMRO,Measles-containing vaccine 2nd dose,1963.0,21
EURO,Measles-containing vaccine 2nd dose,1963.0,53
SEARO,Measles-containing vaccine 2nd dose,1963.0,11
WPRO,Measles-containing vaccine 2nd dose,1963.0,27
AFRO,YF (Yellow fever) vaccine,1967.0,47
AMRO,YF (Yellow fever) vaccine,1967.0,35
EMRO,YF (Yellow fever) vaccine,1967.0,21
EURO,YF (Yellow fever) vaccine,1967.0,53
SEARO,YF (Yellow fever) vaccine,1967.0,11
WPRO,YF (Yellow fever) vaccine,1967.0,27
AFRO,Mumps vaccine,1969.0,47
AFRO,Rubella vaccine,1969.0,47
AMRO,Mumps vaccine,1969.0,35
AMRO,Rubella vaccine,1969.0,35
EMRO,Mumps vaccine,1969.0,21
EMRO,Rubella vaccine,1969.0,21
EURO,Mumps vaccine,1969.0,53
EURO,Rubella vaccine,1969.0,53
SEARO,Mumps vaccine,1969.0,11
SEARO,Rubella vaccine,1969.0,11
WPRO,Mumps vaccine,1969.0,27
WPRO,Rubella vaccine,1969.0,27
AFRO,Hepatitis B vaccine,1982.0,47
AMRO,Hepatitis B vaccine,1982.0,35
EMRO,Hepatitis B vaccine,1982.0,21
EURO,Hepatitis B vaccine,1982.0,53
SEARO,Hepatitis B vaccine,1982.0,11
WPRO,Hepatitis B vaccine,1982.0,27
AFRO,Hib (Haemophilus influenzae type B) vaccine,1986.0,47
AMRO,Hib (Haemophilus influenzae type B) vaccine,1986.0,35
EMRO,Hib (Haemophilus influenzae type B) vaccine,1986.0,21
EURO,Hib (Haemophilus influenzae type B) vaccine,1986.0,53
SEARO,Hib (Haemophilus influenzae type B) vaccine,1986.0,11
